Best: 0.696970 using {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
63.97% (8.66%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 14}
63.30% (9.08%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 15}
59.60% (11.55%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 16}
65.99% (5.49%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 10}
63.97% (6.19%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 11}
59.60% (5.41%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 12}
54.55% (5.15%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 13}
67.34% (2.52%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 14}
63.97% (4.23%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 15}
63.64% (6.44%) with: {'batch_size': 10, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 16}
54.55% (3.59%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 10}
65.32% (7.66%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
66.33% (6.30%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 12}
67.68% (3.30%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 13}
66.67% (4.59%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 14}
62.96% (4.23%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 15}
64.31% (7.39%) with: {'batch_size': 10, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 16}
63.64% (5.41%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 10}
62.29% (4.23%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 11}
64.65% (8.57%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 12}
64.98% (7.01%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 13}
64.65% (5.02%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 14}
65.32% (6.67%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 15}
60.27% (4.54%) with: {'batch_size': 10, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 16}
63.64% (6.55%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 10}
69.70% (3.30%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
66.67% (8.25%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 12}
67.34% (2.90%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 13}
61.95% (6.92%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 14}
62.96% (8.01%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 15}
62.96% (1.72%) with: {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 16}
58.25% (8.09%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 10}
62.96% (6.92%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 11}
65.32% (7.84%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 12}
65.32% (3.43%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 13}
63.97% (3.33%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 14}
67.34% (5.49%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 15}
62.63% (4.29%) with: {'batch_size': 10, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 16}
67.34% (3.12%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 10}
66.33% (5.49%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
65.32% (6.08%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 12}
64.31% (4.54%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 13}
65.99% (4.83%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 14}
65.66% (8.25%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 15}
68.35% (5.85%) with: {'batch_size': 10, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 16}


Best: 0.835017 using {'init': 'uniform', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}
82.49% (1.72%) with: {'init': 'normal', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}
83.50% (2.08%) with: {'init': 'uniform', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}
72.39% (5.37%) with: {'init': 'glorot_normal', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}
62.29% (4.15%) with: {'init': 'glorot_uniform', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}
67.34% (2.65%) with: {'init': 'lecun_normal', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}
66.33% (9.77%) with: {'init': 'lecun_uniform', 'nodes': 11, 'epochs': 100, 'batch_size': 10, 'optimizer': 'adam'}


Best: 0.828283 using {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'normal'}
82.83% (2.18%) with: {'nodes': 11, 'loss': 'binary_crossentropy', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'normal'}
82.83% (1.65%) with: {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'normal'}
82.15% (1.26%) with: {'nodes': 11, 'loss': 'binary_crossentropy', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'uniform'}
81.48% (1.72%) with: {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'uniform'}
66.67% (2.97%) with: {'nodes': 11, 'loss': 'binary_crossentropy', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'glorot_normal'}
57.24% (6.67%) with: {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'glorot_normal'}
71.72% (5.77%) with: {'nodes': 11, 'loss': 'binary_crossentropy', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'glorot_uniform'}
72.73% (5.95%) with: {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'glorot_uniform'}
74.75% (8.73%) with: {'nodes': 11, 'loss': 'binary_crossentropy', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'lecun_normal'}
72.39% (7.48%) with: {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'lecun_normal'}
74.75% (9.51%) with: {'nodes': 11, 'loss': 'binary_crossentropy', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'lecun_uniform'}
67.34% (5.97%) with: {'nodes': 11, 'loss': 'mean_squared_error', 'batch_size': 10, 'epochs': 100, 'optimizer': 'adam', 'init': 'lecun_uniform'}





Best: 0.851852 using {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
80.47% (3.43%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 10, 'init': 'normal'}
81.48% (1.72%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 11, 'init': 'normal'}
78.79% (2.18%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 12, 'init': 'normal'}
80.81% (3.30%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 13, 'init': 'normal'}
81.14% (3.90%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 14, 'init': 'normal'}
82.15% (2.08%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 15, 'init': 'normal'}
81.82% (2.18%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
76.43% (6.92%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 10, 'init': 'uniform'}
82.15% (1.26%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 11, 'init': 'uniform'}
82.83% (2.18%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 12, 'init': 'uniform'}
82.15% (3.12%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 13, 'init': 'uniform'}
82.15% (2.52%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 14, 'init': 'uniform'}
81.82% (1.65%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 15, 'init': 'uniform'}
82.15% (0.48%) with: {'epochs': 50, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform'}
81.48% (4.83%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 10, 'init': 'normal'}
78.11% (3.81%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 11, 'init': 'normal'}
83.50% (1.26%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 12, 'init': 'normal'}
82.49% (0.48%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 13, 'init': 'normal'}
83.16% (1.26%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 14, 'init': 'normal'}
82.15% (2.90%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 15, 'init': 'normal'}
85.19% (1.72%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
83.84% (1.65%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 10, 'init': 'uniform'}
79.80% (2.97%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 11, 'init': 'uniform'}
79.80% (3.59%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 12, 'init': 'uniform'}
80.13% (1.26%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 13, 'init': 'uniform'}
82.15% (2.52%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 14, 'init': 'uniform'}
81.14% (3.33%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 15, 'init': 'uniform'}
81.82% (1.43%) with: {'epochs': 100, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform'}
82.49% (2.90%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 10, 'init': 'normal'}
78.79% (2.47%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 11, 'init': 'normal'}
79.80% (3.78%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 12, 'init': 'normal'}
82.15% (4.23%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 13, 'init': 'normal'}
83.84% (0.82%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 14, 'init': 'normal'}
84.51% (2.52%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 15, 'init': 'normal'}
80.47% (0.95%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
81.48% (2.90%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 10, 'init': 'uniform'}
81.82% (2.18%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 11, 'init': 'uniform'}
82.15% (0.48%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 12, 'init': 'uniform'}
80.81% (1.65%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 13, 'init': 'uniform'}
84.18% (2.38%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 14, 'init': 'uniform'}
78.45% (2.65%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 15, 'init': 'uniform'}
84.51% (1.26%) with: {'epochs': 150, 'batch_size': 5, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform'}
78.79% (0.00%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 10, 'init': 'normal'}
78.79% (3.59%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 11, 'init': 'normal'}
80.81% (2.47%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 12, 'init': 'normal'}
81.82% (1.65%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 13, 'init': 'normal'}
76.43% (0.95%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 14, 'init': 'normal'}
81.14% (2.65%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 15, 'init': 'normal'}
81.82% (2.47%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
79.12% (2.08%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 10, 'init': 'uniform'}
80.81% (2.86%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 11, 'init': 'uniform'}
76.43% (3.12%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 12, 'init': 'uniform'}
81.82% (1.43%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 13, 'init': 'uniform'}
76.43% (1.72%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 14, 'init': 'uniform'}
80.47% (1.26%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 15, 'init': 'uniform'}
81.48% (2.52%) with: {'epochs': 50, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform'}
82.49% (0.95%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 10, 'init': 'normal'}
80.81% (2.86%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 11, 'init': 'normal'}
79.80% (2.18%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 12, 'init': 'normal'}
83.50% (1.26%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 13, 'init': 'normal'}
81.82% (1.65%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 14, 'init': 'normal'}
82.49% (2.38%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 15, 'init': 'normal'}
80.13% (2.65%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
81.82% (2.18%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 10, 'init': 'uniform'}
83.16% (1.72%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 11, 'init': 'uniform'}
81.82% (2.18%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 12, 'init': 'uniform'}
78.45% (2.38%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 13, 'init': 'uniform'}
82.49% (0.48%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 14, 'init': 'uniform'}
80.13% (3.33%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 15, 'init': 'uniform'}
78.11% (3.12%) with: {'epochs': 100, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform'}
83.50% (1.72%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 10, 'init': 'normal'}
79.80% (1.43%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 11, 'init': 'normal'}
80.13% (1.72%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 12, 'init': 'normal'}
84.51% (1.72%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 13, 'init': 'normal'}
81.82% (0.82%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 14, 'init': 'normal'}
82.49% (1.90%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 15, 'init': 'normal'}
82.49% (1.26%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal'}
84.18% (1.26%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 10, 'init': 'uniform'}
81.48% (4.07%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 11, 'init': 'uniform'}
82.83% (2.97%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 12, 'init': 'uniform'}
81.14% (3.33%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 13, 'init': 'uniform'}
81.82% (4.36%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 14, 'init': 'uniform'}
83.16% (0.48%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 15, 'init': 'uniform'}
79.12% (2.52%) with: {'epochs': 150, 'batch_size': 10, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform'}


Best: 0.841751 using {'optimizer': 'adam', 'nodes': 11, 'activation': 'relu', 'epochs': 100, 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 10}
82.15% (1.26%) with: {'optimizer': 'adam', 'nodes': 11, 'activation': 'relu', 'epochs': 100, 'init': 'normal', 'loss': 'binary_crossentropy', 'batch_size': 10}
84.18% (1.26%) with: {'optimizer': 'adam', 'nodes': 11, 'activation': 'relu', 'epochs': 100, 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 10}
81.82% (1.65%) with: {'optimizer': 'adam', 'nodes': 11, 'activation': 'tanh', 'epochs': 100, 'init': 'normal', 'loss': 'binary_crossentropy', 'batch_size': 10}
83.84% (2.97%) with: {'optimizer': 'adam', 'nodes': 11, 'activation': 'tanh', 'epochs': 100, 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 10}
83.16% (3.12%) with: {'optimizer': 'adam', 'nodes': 11, 'activation': 'sigmoid', 'epochs': 100, 'init': 'normal', 'loss': 'binary_crossentropy', 'batch_size': 10}
83.50% (1.26%) with: {'optimizer': 'adam', 'nodes': 11, 'activation': 'sigmoid', 'epochs': 100, 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 10}


Best: 0.838384 using {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'init': 'normal', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}
36.36% (25.77%) with: {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'normal', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}
62.96% (14.76%) with: {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'uniform', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}
63.64% (12.96%) with: {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'tanh', 'init': 'normal', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}
69.70% (18.59%) with: {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'tanh', 'init': 'uniform', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}
83.84% (3.59%) with: {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'init': 'normal', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}
82.15% (1.26%) with: {'nodes': 16, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'init': 'uniform', 'batch_size': 10, 'optimizer': 'adam', 'epochs': 100}

Best: 0.841751 using {'activation': 'sigmoid', 'epochs': 100, 'batch_size': 5, 'init': 'uniform', 'nodes': 16, 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
77.44% (7.01%) with: {'activation': 'sigmoid', 'epochs': 100, 'batch_size': 5, 'init': 'normal', 'nodes': 16, 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
84.18% (2.52%) with: {'activation': 'sigmoid', 'epochs': 100, 'batch_size': 5, 'init': 'uniform', 'nodes': 16, 'loss': 'binary_crossentropy', 'optimizer': 'adam'}


